"","mun_code","municipio","incidence 2007","incidence 2008","incidence 2009","incidence 2010","incidence 2011","incidence 2012","incidence 2013","incidence 2014","incidence 2015","incidence 2016","incidence 2017","incidence 2018","incidence 2019","incidence 2020","incidence 2021","incidence 2022","incidence 2023","incidence 2024"
"34","110092","110092 CHUPINGUAIA",0,0,0,0,0,0,0,0,0,0,9.44019635608421,0,0,0,0,0,0,9.87264290650607
"35","110094","110094 CUJUBIM",0,0,0,0,0,0,0,4.94951494753514,0,0,0,0,3.96589331746976,0,0,0,13.4562336002153,6.29603979097148
"36","110100","110100 GOVERNADOR JORGE TEIXEIRA",0,0,0,0,9.73520249221184,0,0,0,19.7491853461045,0,0,0,0,0,0,0,0,0
"37","110110","110110 ITAPUA DO OESTE",0,12.3304562268804,0,0,0,0,20.701790704896,10.1719051978436,0,0,0,0,9.56205775482884,0,0,0,0,0
"38","110120","110120 MINISTRO ANDREAZZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","110130","110130 MIRANTE DA SERRA",0,0,0,0,0,0,0,8.05542129853391,0,0,0,0,0,0,0,0,0,0
"40","110140","110140 MONTE NEGRO",0,0,0,0,0,0,0,19.0961171228517,6.3000063000063,18.7125748502994,0,0,0,0,6.18888476296571,0,0,0
"41","110143","110143 NOVA UNIAO",0,0,0,0,0,0,12.685525815045,0,0,0,0,0,0,14.5032632342277,0,0,0,0
"42","110145","110145 PARECIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7790432801822
"43","110146","110146 PIMENTEIRAS DO OESTE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","110147","110147 PRIMAVERA DE RONDONIA",0,0,0,0,0,0,0,0,0,0,0,0,35.0140056022409,0,0,0,32.5097529258778,0
"45","110148","110148 SAO FELIPE D'OESTE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","110149","110149 SAO FRANCISCO DO GUAPORE",0,0,0,0,0,0,5.47495209416918,0,0,0,0,0,0,0,0,0,0,0
"47","110150","110150 SERINGUEIRAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","110155","110155 TEIXEIROPOLIS",0,0,0,0,0,0,0,0,0,0,40.5597241938755,0,0,0,0,23.3426704014939,0,0
"49","110160","110160 THEOBROMA",0,0,0,0,310.968714662646,0,8.81600987393106,8.81445570736007,0,0,0,0,0,0,0,0,0,0
"50","110170","110170 URUPA",0,0,0,0,7.79544745868413,0,0,7.46770218803674,0,0,0,17.1453064723532,0,0,0,18.470631695604,0,0
"51","110175","110175 VALE DO ANARI",0,0,0,0,21.0282830406897,0,9.50751093363757,0,9.22253988748501,0,0,9.06782734856728,0,0,0,0,0,0
"52","110180","110180 VALE DO PARAISO",0,0,0,0,0,0,0,12.0091269364717,24.2983841574535,12.2880314573605,0,0,0,15.0240384615385,0,0,0,14.6134736226801
"53","120001","120001 ACRELANDIA",0,8.34237090181029,0,0,15.6506768917756,7.68580431942203,202.201752415188,29.3836773672225,36.0516259283294,7.08215297450425,20.8826395656411,6.6577896138482,0,32.2788896061975,0,7.86967813016448,7.13215890450039,6.82267858361193
"54","120005","120005 ASSIS BRASIL",0,0,0,0,0,0,0,30.2571860816944,29.6823983377857,0,0,0,0,39.8194850013273,0,12.2594090964815,0,0
